Name,Date,Location,Type,Region,Weather
Hunt for Sleeping Giants | National Geographic Live,Now through 2/27/2024,Benaroya Hall,Readings & Lectures,Downtown,"Rain. Cloudy. High near 46, with temperatures falling to around 44 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Big Tooth,2/27/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain and snow. Cloudy, with a high near 43. South southeast wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Eric Klinenberg,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Rain and snow. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Fresh Dressed – smARTfilms: Black Luxury,2/27/2024,Bainbridge Island Museum of Art,Museums,West,Error fetching weather
Joy Harjo,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Rain and snow. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Kelsy Karter and The Heroines,2/27/2024,Funhouse,Music,Capitol Hill / Central District,Error fetching weather
Ron Pope,2/27/2024,The Triple Door,Music,Downtown,"Rain. Cloudy. High near 46, with temperatures falling to around 44 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Rain and snow. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Dianne Reeves,2/28/2024,Town Hall Seattle,Music,Downtown,"Rain and snow. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
He Films The Clouds,2/28/2024,Funhouse,Music,Capitol Hill / Central District,Error fetching weather
Kassa Overall,2/28/2024,Nectar Lounge,Music,Fremont / Ballard,"Rain and snow. Cloudy, with a high near 44. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Playboi Carti,2/28/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,"Rain. Cloudy. High near 45, with temperatures falling to around 43 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Tommy Castro and The Painkillers,2/28/2024,The Triple Door,Music,Downtown,"Rain. Cloudy. High near 46, with temperatures falling to around 44 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Winter Brilliance,Now through 2/29/2024,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,"Rain. Cloudy. High near 45, with temperatures falling to around 43 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Seattle Museum Month,Now through 2/29/2024,Downtown Seattle,Museums,Downtown,"Rain and snow. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Corey Harris and Cedric Watson,2/29/2024,The Triple Door,Music,Downtown,"Rain. Cloudy. High near 46, with temperatures falling to around 44 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
JNA and Tavia Rhodes,2/29/2024,The Royal Room,Music,South Seattle,"Rain. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Julian Lage,2/29/2024,Town Hall Seattle,Music,Downtown,"Rain and snow. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
MarchFourth,2/29/2024,Nectar Lounge,Music,Fremont / Ballard,"Rain and snow. Cloudy, with a high near 44. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Quilts,2/29/2024,Sunset Tavern,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 44. South wind 12 to 15 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain. Cloudy. High near 45, with temperatures falling to around 43 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
The Human Family,2/29/2024,LANGSTON Seattle,Music,Capitol Hill / Central District,"Rain and snow. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Abbigale,3/1/2024,Slim's Last Chance,Music,South Seattle,"Rain. Cloudy, with a high near 45. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Conjuring Up Monsterz,3/1/2024,Funhouse,Music,Capitol Hill / Central District,Error fetching weather
Enjambre,3/1/2024,Nectar Lounge,Music,Fremont / Ballard,"Rain and snow. Cloudy, with a high near 44. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
